A	một
Acropolis	vệ thành, thành phòng ngự
Acroscopic	(thực vật) đối ngọn
Acrospire	(thực vật) mần ngọn cuộn
Acrospore	(thực vật học) bào tử ngọn
Across	qua, ngang, ngang qua
Acrostic	(thơ ca) chữ đầu
Acrostically	- xem acrostic
Acrotropism	tính hướng ngọn
Acrylic	(hóa) acrylic
Act	hành động
Actinal	thuộc tấm toả tia
Acting	hành động
Actinia	(động vật học) hải quỳ
Actiniae	(động vật học) hải quỳ
Actinic	(vật lý),  (hoá học) quang hoá
Actinically	- xem actinic
Actinide	(hoá học) actinit
Actinidia	cây dương đào
Actiniform	(sinh học) dạng sao
Actinism	(vật lý),  (hoá học) tính quang hoá, độ quang hoá
Actinium	(hoá học) actini
Actinobiology	sinh học bức xạ
Actinoblast	(sinh học) nguyên bào gai
Actinocarpic	thuộc quả xếp toả tia
Actinocarpous	(thực vật) có quả xếp toả tia
Actinoid	dạng toả tia
Actinolit	(khoáng) actinolit
Actinometer	(vật lý) cái đo nhật xạ
Actinometric	- xem actinometer
Actinometry	- xem actinometer
Actinomorphic	(sinh vật học) đối xứng toả tia
Actinomorphous	(sinh vật học) đối xứng toả tia
Actinomorphy	- xem actinomorphic
Actinomycet	số nhiều actinomyces
Actinomycosis	bệnh do khuẩn tia
Actinon	(hoá học) actinon
Actinospore	(sinh học) bào tử toả tia
Actinotherapy	(y học) liệu pháp tia sáng
Actinotropism	(thực vật) tính hướng tia
Actinula	(sinh học) ấu trùng
Action	hoạt động
Action menu	- (tech) đơn chọn tác động
Action message	- (tech) thông báo tác động
Action painting	tranh trừu tượng được tô màu sơ sài
Action replay	sự quay một đoạn phim chậm lại để diễn tả một tình huống đặc biệt
Actionable	có thể kiện
Actionably	- xem actionable
Activate	(hoá học)
Activate indication	biểu thị khởi động
Activated	đã hoạt hoá
Activated cathode	âm cực hoạt hóa
Activated material	chất được hoạt hóa
Activated plasma	đẳng ly tử thể kích thích, plasma hoạt kích
Activating effect	hiệu ứng hoạt hóa
Activating process	xử lý khởi động
Activation	sự hoạt hoá
Activator	- xem activate
Active	đang hoạt động
Active antenna	ănten có nguồn, ănten chủ động
Active area	khu vực hoạt/năng động
Active chain	chuỗi hoạt động
Active channel	kênh có nguồn, kênh hoạt động
Active component	thành phần chủ động
Active computer	máy điện toán hoạt động
Active current	dòng hoạt tính, dòng thực
Active element	phần tử hoạt tính, phần tử chủ động
Active encapsulation	- (tech) bao bọc hoạt tính
Active file	- (tech) tập tin hoạt động, tập tin mở
Active interferometer	- (tech) giao thoa kế hoạt tính
Active material	- (tech) hoạt chất
Active medium	- (tech) môi trường hoạt tính
Active network	- (tech) mạng chủ động
Active node	- (tech) nút hoạt động
Active station	- (tech) đài có nguồn điện
Active substrate	- (tech) nền hoạt tính
Active surface	- (tech) bề mặt hoạt tính
Active task	- (tech) công việc hoạt tính, công tác hoạt tính
Active test	- (tech) phép thử hoạt động
Active time	- (tech) thời gian hoạt động
Active transducer	- (tech) bộ biến hoán/hoán năng có nguồn
Active window	- (tech) cửa sổ hoạt động, cửa sổ đang dùng
Actively	tích cực
Activeness	sự tích cực
Activism	(triết học) chủ nghĩa tích cực
Activist	nhà hoạt động
Activity	Hoạt động
Activity analysis	- (econ) phân tích hoạt động.
Activity coefficient	- (tech) hệ số hoạt động
Activity rate	- (econ) tỷ lệ lao động
Activity ratio	- (tech) tỉ số hoạt động
Actor	diễn viên
Actorish	thuộc diễn viên
Actress	nữ diễn viên
Actual	thực tế
Actual address	- (tech) địa chỉ thực tế
Actual amount	- (tech) số lượng thực tế
Actual code	- (tech) mã thực, mã tuyệt đối
Actual coding	- (tech) biên mã thực, biên mã ngôn ngữ máy
Actual data	- (tech) dữ kiện thực
Actual instruction	- (tech) chỉ thị thực
Actual parameter	- (tech) tham số thực tế
Actual power	- (tech) công suất hữu hiệu, công suất thực
Actual state	- (tech) trạng thái thực tế, thực trạng
Actual storage	- (tech) bộ trữ hữu hiệu
Actual value	- (tech) trị số thực
Actualisation	sự thực hiện, sự biến thành hiện thực
Actualise	thực hiện, biến thành hiện thực
Actuality	thực tế, thực tại
Actualization	sự thực hiện, sự biến thành hiện thực
Actualize	thực hiện, biến thành hiện thực
Actually	thực ra
Actuarial	(thuộc) chuyên viên thống kê bảo hiểm
Actuarially	- xem actuary
Actuary	chuyên viên thống kê (tỷ lệ sinh đẻ, bệnh tật, thất nghiệp...)
Actuate	thúc đẩy, kích thích
Actuating mechanism	- (tech) cơ cấu động tác, cơ chế động tác
Actuating signal	- (tech) tín hiệu phát huy
Actuating transfer function	- (tech) chức năng chuyển động tác
Actuation	sự thúc đẩy, sự kích thích
Actuator	- (tech) bộ [cần] truyền động
Acuate	khởi động (một cỗ máy)
Acuity	tính sắc nhọn (cái kim...)
Aculea	vải thô sơ
Aculeate	(thực vật học) có gai
Aculeateform	(sinh học) dạng gai
Aculeus	(sinh học) gai, trâm đốt
Acumen	sự nhạy bén, sự nhạy cảm, sự thính
Acuminate	(thực vật học) nhọn mũi
Acumination	- xem acuminate
Acumineit	làm cho nhọn
Acuminiferous	(sinh vật) có củ nhọn
Acupuncture	(y học) thuật châm cứu
Acupuncturist	chuyên gia về khoa châm cứu
Acutance	- (tech) độ phân giải, độ phân tích
Acute	sắc, sắc bén, sắc sảo
Acute accent	- (ngôn) dấu sắc (như trong café)
Acutely	sâu sắc
Acuteness	sự sắc
Acutiflorous	(thực vật) có hoa nhọn
Acutifoliate	(thực vật) có lá nhọn
Acyclic	không tuần hoàn
Acyclic graph	- (tech) đồ thị không tuần hoàn
Acyclicity	- tính không tuần hoàn, tính xilic
Acyesis	(sinh học) sự không thụ thai, sự không kết quả
Ad	quảng cáo
Ad absurdum	reduction a. a. sự đưa đến chỗ vô lý
Ad converter	- (tech) bộ đổi sóng-số
Ad hoc	đặc biệt
Ad infinitum	vô cùng, vô tận, không giới hạn, mãi mãi
Ad lib	<khngu> cương, ứng, tác
Ad nauseam	phó từ(latinh)
Ad valorem	theo giá hàng
Ad-lib	(thông tục) ứng khẩu, cương
Ada	- tên một ngôn ngữ lập trình bậc cao
Adage	cách ngôn, châm ngôn
Adagio	(âm nhạc) khoan thai
Adam	a-dam (con người đầu tiên, thuỷ tổ loài người)
Adam's apple	- (giải phẫu) trái cổ
Adamant	kỉ cương
Adamantine	rắn như kim cương
Adamantly	cứng rắn
Adamantoblast	tế bào men răng
Adamic	của hay giống thời kỳ adam
Adamite	con người
Adapt	phỏng theo
Adaptability	tính có thể tra vào, tính có thể lắp vào
Adaptable	có thể tra vào, có thể lắp vào
Adaptableness	tính có thể tra vào, tính có thể lắp vào
Adaptation	sự tra vào, sự lắp vào
Adaptation function	- (tech) chức năng thích ứng
Adaptational	- xem adaptation
Adaptationally	- xem adaptation
Adapter	người phỏng theo, người sửa lại cho hợp (tác phẩm văn học...)
Adapter board	- (tech) bảng tiếp hợp
Adaptive	- (tech) mang tính thích nghi
Adaptive equalizer	- (tech) bộ cân bằng điều ứng
Adaptive expectation	- (econ) kỳ vọng thích nghi
Adaxial	hướng trục, bên trục, gần trục, dính trục
Adb	- (vt của apple desktop bus) bus của máy tính để bàn apple, bus adb
Adc	(vt của aid to dependent children)
Adcauline	(sinh vật) bên thân, dính thân
Add	thêm vào
Add carry	- (tech) số nhớ khi cộng
Add-in	- <tin> chương trình bổ sung
Add-on	- (tech) thiết bị thêm vào, phụ kiện, phụ tùng tăng cường
Add-on memory	- (tech) bộ nhớ thêm vào
Addable	- xem add
Addax	(động vật học) linh dương sừng queo (bắc phi)
Added	thêm
Addend	số hạng (của tổng)
Addend digit	- (tech) ký số của số cộng
Addend register	- (tech) bộ ghi số cộng
Addenda	phụ lục (của một cuốn sách)
Addendum	phụ lục (của một cuốn sách)
Adder	người cộng, máy cộng
Adder accumulator	- (tech) bộ cộng tích lũy/tăng trữ
Adder amplifier	- (tech) bộ khuếch đại cộng
Adder subtracter	- (tech) bộ gia giảm, bộ cộng trừ
Adder's tongue	(thực vật học) cây lưỡi rắn (dương xỉ)
Adder-in	- (tech) phụ kiện tăng cường, phụ tùng tăng cường, tăng thiết
Adder-spit	(thực vật học) cây lưỡi rắn (dương xỉ)
Adder-subtractor	- bộ cộng và trừ
Addicted	say mê, nghiện
Addiction	thói nghiện
Addictive	- xem addict
Address	địa chỉ nhà
Addressee	người nhận (thư...)
Adduce	viện, viện dẫn (lý lẽ, thí dụ, bằng chứng...)
Adduceable	có thể viện dẫn (lý lẽ, thí dụ, bằng chứng...)
Adducible	có thể viện dẫn (lý lẽ, thí dụ, bằng chứng...)
Adductor	cơ khép
Addutor	cơ khép
Ademption	sự tước bỏ quyền thừa kế tài sản
Adenite	viêm hạch
Adenitis	viêm hạch
Adenoidectomy	giải phẫu
Adenoids	bệnh sùi vòm họng
Adept	người giỏi, người tinh thông
Adeptly	- xem adept
Adeptness	- xem adept
Adequacy	sự đủ, sự đầy đủ
Adequate	đầy đủ
Adequately	tương xứng, thích đáng, thoả đáng
Adequateness	sự đủ, sự đầy đủ
Adequation	sự san bằng
Adespota	những tác phẩm khuyết danh
Adhere	dính chặt vào, bám chặt vào
Adherence	sự dính chặt, sự bám chặt
Adherent	người gia nhập đảng, đảng viên, môn đồ
Adherently	- xem adherent
Adherer	người gia nhập đảng, đảng viên, môn đồ
Adhesion	sự dính chặt vào, sự bám chặt vào
Adhesive	dính, bám chắc
Adhesive tape	- (tech) băng dính
Adhesively	- xem adhesive
Adhesiveness	dính dính
Adhibit	ký (tên) vào
Adi	- (apple desktop interface) giao điện máy tính để bàn apple, giao diện adi
Adiabat	- (tech) đường đoạn nhiệt
Adiabatic	(vật lý) đoạn nhiệt
Adiantum	(thực vật học) cây đuôi chồn (dương xỉ)
Adiastiole	(y học) sự suy tâm trương
Adic	- ađic
Adience	(sinh học) sự hướng kích thích
Adient	(sinh vật) hướng kích thích
Adieu	từ biệt!
Adinfinitum	vô cùng
Adios	xin từ biệt!
Adipocere	chất sáp mỡ (xác chết)
Adipocyte	tế bào tạo mỡ
Adipoleucocyte	bạch cầu-mỡ
Adipolysis	sự tiêu mỡ
Adipopexis	sự tích mỡ
Adiposeness	- xem adipose
Adiposis	(y học) chứng phát phì
Adiposity	tình trạng béo phì, tình trạng phát phì
Adit	đường vào, lối vào
Aditus	cửa
Adj	(viết tắt adjective) phụ vào, thêm vào, lệ thuộc, không đứng một mình
Adjacence	sự gần kề, sự kế liền
Adjacency	sự gần kề, sự kế liền
Adjacent angles	- (toán) góc kề
Adjacently	cận kề nhau
Adjectival	(ngôn ngữ học) có tính chất tính từ
Adjectivally	như một tính từ, theo cách thức của một tính từ
Adjective	phụ vào, thêm vào
Adjectively	- xem adjective
Adjgate	- liên hợp, phù hợp
Adjudgment	sự xét sử, sự phân xử
Adjudicate	xét xử (quan toà)
Adjudication	sự xét xử
Adjudicative	- xem adjudicate
Adjudicator	quan toà
Adjunct	điều thêm vào, cái phụ vào
Adjunct professor	(từ mỹ,nghĩa mỹ) trợ giáo
Adjunction	sự thêm vào, sự phụ vào
Adjunctive	thêm, phụ vào
Adjuration	lời thề, lời tuyên thệ
Adjuratory	- xem adjuration
Adjure	bắt thề, bắt tuyên thệ
Adjurer	- xem adjure
Adjuror	- xem adjure
Adjust	điều chỉnh
Adjustable	có thể điều chỉnh được
Adjustable array	dẫy/mảng điều chỉnh được
Adjustable capacitor	bộ điện dung chỉnh được
Adjustable dimension	kích thước điều chỉnh được
Adjustable peg regime	chế độ điều chỉnh hạn chế.
Adjustable probe	đầu dò điều chỉnh được
Adjuster	máy điều chỉnh
Adjusting	điều chỉnh
Adjusting screw	vít điều chỉnh
Adjustment	điều chỉnh
Adjustment cost	- (econ) chi phí điều chỉnh sản xuất.
Adjustment table	- (tech) bảng điều chỉnh
Adjustor	- xem adjust
Adjutage	ống vòi (ống nhỏ lắp vào miệng vòi máy nước để lấy nước)
Adjutancy	(quân sự) chức sĩ quan phụ tá
Adjutant	người phụ tá
Adjutant general	sự quan quản trị cao cấp trong quân đội
Adjuvant	giúp đỡ, phụ tá, giúp ích
Adm	- (viết tắt của admiral) đô đốc
Admass	quần chúng dễ bị thủ đoạn quảng cáo ảnh hưởng
Admeasure	quy định từng phần
Admeasurement	sự quy định từng phần, sự chia phần
Admeasurer	- xem admeasure
Adminiculum	(động vật) gai vận động
